NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
What is the {bridge} for {maintained by} of {Amtrak},21160,simple question left,1506,Which bridge is maintained by Amtrak?, select distinct ?sbj where { ?sbj wdt:P126 wd:Q23239 . ?sbj wdt:P31 wd:Q12280 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P126> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q23239> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q12280> } ,<?S P O ; ?S InstanceOf Type>,Which bridge is kept up by Amtrak?, select distinct ?sbj where { ?sbj [maintained by] [Amtrak] . ?sbj [instance of] [bridge] } ,"['[maintained by] is person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order', '[Amtrak] is American intercity passenger rail operator', '[bridge] is structure that spans and provides a passage over a road, railway, river, or some other obstacle', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {position held} of {Eisaku Satō} that is {replaced by} is {Kaneshichi Masuda} ?,5290,statement_property,1735,What was the position for which Kaneshichi Masuda replaced Eisaku Sato?,SELECT ?obj WHERE { wd:Q179871 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P1366 wd:Q11429351 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q179871> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P39> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P1366> <http://wikidata.dbpedia.org/resource/Q11429351>
} 
",(E pred F) prop ?value,What was the situation for which Kaneshichi Masuda supplanted Eisaku Sato?,SELECT ?obj WHERE { [Eisaku Satō] [position held] ?s . ?s [position held] ?obj . ?s [replaced by] [Kaneshichi Masuda] },"['[replaced by] is other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series).', '[position held] is subject currently or formerly holds the object position or public office', '[Kaneshichi Masuda] is Japanese politician and lawyer (1898-1985)', '[position held] is subject currently or formerly holds the object position or public office', '[Eisaku Satō] is Prime Minister of Japan from 1964 to 1972']"
What is {previous job holder} of {dynasty} of {Mangalesa} ?,16242,left-subgraph,28,what is job holder is previous mangalesa of dynasty?,SELECT ?answer WHERE { wd:Q12444610 wdt:P53 ?X . ?X wdt:P1365 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q12444610> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P53>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1365> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,what is work holder is past mangalesa of tradition?,SELECT ?answer WHERE { [Mangalesa] [family] ?X . ?X [replaces] ?answer},"['[Mangalesa] is Chalukya ruler of southern India', '[family] is family, including dynasty and nobility houses. Not family name (use P734 for family name).', '[replaces] is person, state or item replaced. Use ""structure replaces"" (P1398) for structures. Use ""follows"" (P155) if the previous item was not replaced or predecessor and successor are identical']"
What is the {part} for {partially coincident with} of {curriculum},19957,simple question left,303,Which is the part which is partially coincident with the curriculum?, select distinct ?sbj where { ?sbj wdt:P1382 wd:Q207137 . ?sbj wdt:P31 wd:Q15989253 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1382> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q207137> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q15989253> } ,<?S P O ; ?S InstanceOf Type>,Which is the part which is partially coincident with the curriculum?, select distinct ?sbj where { ?sbj [partially coincident with] [curriculum] . ?sbj [instance of] [part] } ,"['[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[curriculum] is educational plan', '[partially coincident with] is object that partially overlaps with the subject in its instances, parts, or members', '[part] is separate element of a larger entity. For integral parts, see Q1310239.']"
"What is {colors} of {coal}, that has {label in sign language} is {Csc-negre-spreadthesign.ogv} ?",13797,right-subgraph,60,What are the colors of coal that have a sign language label of Csc-negre-spreadthesign.ogv?,"SELECT ?answer WHERE { wd:Q24489 wdt:P462 ?answer . ?answer wdt:P2919 ?x FILTER(contains(?x,'Csc-negre-spreadthesign.ogv'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q24489> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P462>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2919> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <Csc-negre-spreadthesign.ogv> . },E REF ?F . ?F RFG G,What are the colors of coal that have a sign dialect name of Csc-negre-spreadthesign.ogv?,"SELECT ?answer WHERE { [coal] [color] ?answer . ?answer [label in sign language] ?x FILTER(contains(?x,'Csc-negre-spreadthesign.ogv'))}","['[label in sign language] is media file showing label of this item in sign language. Use ""language of work or name"" (P407) as qualifier to indicate which language', '[color] is color of subject', '[coal] is combustible sedimentary rock composed primarily of carbon']"
What is {genetic association} of {regulates (molecular biology)} of {hsa-miR-7110-3p} ?,16613,left-subgraph,18452,Which is the genetic association that regulates the molecular biology of HSA-MIR-7110-3p?,SELECT ?answer WHERE { wd:Q27594530 wdt:P128 ?X . ?X wdt:P2293 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q27594530> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P128>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2293> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which is the hereditary affiliation that directs the atomic science of HSA-MIR-7110-3p?,SELECT ?answer WHERE { [hsa-miR-7110-3p] [regulates (molecular biology)] ?X . ?X [genetic association] ?answer},"['[genetic association] is general link between a disease and the causal genetic entity, if the detailed mechanism is unknown/unavailable', '[regulates (molecular biology)] is process regulated by a protein or RNA in molecular biology', '[hsa-miR-7110-3p] is human mature microRNA']"
What is the {type of language} for {used by} of {human},21838,simple question left,2184,What language is most used y humans ?, select distinct ?sbj where { ?sbj wdt:P1535 wd:Q5 . ?sbj wdt:P31 wd:Q20829075 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1535> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q5> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q20829075> } ,<?S P O ; ?S InstanceOf Type>,What language is most frequently used by people?, select distinct ?sbj where { ?sbj [used by] [human] . ?sbj [instance of] [type of language] } ,"['[used by] is item or concept that makes use of the subject (use sub-properties when appropriate)', '[type of language] is class of langoid in linguistic typology', '[human] is any member of Homo sapiens, unique extant species of the genus Homo, from embryo to adult', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
"What is {has brother} of {Fatimah}, that has {Christian name} is {Abdullah} ?",13460,right-subgraph,2240,Does the brother of Fatimah have a Christian name of Abdullah?,SELECT ?answer WHERE { wd:Q180123 wdt:P3373 ?answer . ?answer wdt:P735 wd:Q307578},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q180123> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3373>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P735> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q307578> . },E REF ?F . ?F RFG G,Does the brother of Fatimah have a Christian name of Abdullah?,SELECT ?answer WHERE { [Fatima] [sibling] ?answer . ?answer [given name] [Abdullah]},"['[given name] is first name or another given name of this person; values used with the property should not link disambiguations nor family names', '[Abdullah] is male given name (عبدالله)', '[sibling] is the subject and the object have at least one common parent (brother, sister, etc. including half-siblings); use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)', '[Fatima] is daughter of Muhammad (c. 605–632)']"
What is {population} of {Fes} that is {point in time} is {2014-0-0} ?,8505,statement_property,4950,What was the population of Fes in 2014?,"SELECT ?obj WHERE { wd:Q80985 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2014')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q80985> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2014-0-0>
} 
",(E pred F) prop ?value,"In 2014, what was Fes' population?","SELECT ?obj WHERE { [Fez] [population] ?s . ?s [population] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'2014')) }","['[population] is number of people inhabiting the place; number of people of subject', '[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[population] is number of people inhabiting the place; number of people of subject', '[Fez] is city in Morocco']"
"What is {location of work} of {Heinrich Schliemann}, that has {sister city} is {Amsterdam} ?",11984,right-subgraph,6545,Where does Heinrich Schliemann work which is also a sister city to Amsterdam?,SELECT ?answer WHERE { wd:Q57106 wdt:P937 ?answer . ?answer wdt:P190 wd:Q9899},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q57106> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P937>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q9899> . },E REF ?F . ?F RFG G,Where does Heinrich Schliemann work which is additionally a sister city to Amsterdam?,SELECT ?answer WHERE { [Heinrich Schliemann] [work location] ?answer . ?answer [twinned administrative body] [Amsterdam]},"['[work location] is location where persons or organisations were actively participating in employment, business or other work', '[Amsterdam] is municipality in the Netherlands, containing the cities of Amsterdam and Weesp', '[twinned administrative body] is twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments', '[Heinrich Schliemann] is German businessman and archaeologist (1822–1890)']"
What is {death location} of {wife} of {Harry Mazer} ?,15019,left-subgraph,4513,Where is the place of death of Harry Mazer's wife?,SELECT ?answer WHERE { wd:Q5670943 wdt:P26 ?X . ?X wdt:P20 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q5670943> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P20> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Where is the put of passing of Harry Mazer's wife?,SELECT ?answer WHERE { [Harry Mazer] [spouse] ?X . ?X [place of death] ?answer},"['[spouse] is the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions', '[Harry Mazer] is Recipient of the Purple Heart medal (1925-2016)', '[place of death] is most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character']"
What is the {landlocked country} for {religion} of {Islam},22673,simple question left,3734,Which landlocked country follows the Islam religion?, select distinct ?sbj where { ?sbj wdt:P140 wd:Q432 . ?sbj wdt:P31 wd:Q123480 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P140> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q432> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q123480> } ,<?S P O ; ?S InstanceOf Type>,Which landlocked nation takes after the Islam religion?, select distinct ?sbj where { ?sbj [religion or worldview] [Islam] . ?sbj [instance of] [landlocked country] } ,"['[religion or worldview] is religion of a person, organization or religious building, or associated with this subject', '[landlocked country] is country fully enclosed by land areas, or whose only coastlines lie on closed seas or lakes', '[Islam] is Abrahamic religion founded by Muhammad', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
